funcid,dim,milestone,error
27,10,1,4.065506e+02
27,10,2,4.065506e+02
27,10,3,4.065506e+02
27,10,5,4.065506e+02
27,10,10,4.039612e+02
27,10,20,4.033834e+02
27,10,30,4.002439e+02
27,10,40,4.002439e+02
27,10,50,4.002439e+02
27,10,60,3.982039e+02
27,10,70,3.982039e+02
27,10,80,3.982039e+02
27,10,90,3.982039e+02
27,10,100,3.982039e+02
27,10,1,4.072095e+02
27,10,2,4.012206e+02
27,10,3,4.012206e+02
27,10,5,4.003084e+02
27,10,10,3.974041e+02
27,10,20,3.938956e+02
27,10,30,3.938956e+02
27,10,40,3.933409e+02
27,10,50,3.933030e+02
27,10,60,3.933030e+02
27,10,70,3.933030e+02
27,10,80,3.933030e+02
27,10,90,3.926259e+02
27,10,100,3.922950e+02
27,10,1,3.967039e+02
27,10,2,3.967039e+02
27,10,3,3.944423e+02
27,10,5,3.830442e+02
27,10,10,3.828455e+02
27,10,20,3.816677e+02
27,10,30,3.814314e+02
27,10,40,3.814314e+02
27,10,50,3.814314e+02
27,10,60,3.814314e+02
27,10,70,3.814314e+02
27,10,80,3.814314e+02
27,10,90,3.814314e+02
27,10,100,3.814314e+02
27,10,1,4.762630e+02
27,10,2,4.753428e+02
27,10,3,4.751215e+02
27,10,5,4.744229e+02
27,10,10,4.741732e+02
27,10,20,4.503845e+02
27,10,30,4.408442e+02
27,10,40,4.406037e+02
27,10,50,4.405132e+02
27,10,60,4.405125e+02
27,10,70,4.405094e+02
27,10,80,4.404445e+02
27,10,90,4.404181e+02
27,10,100,4.403762e+02
27,10,1,4.201344e+02
27,10,2,4.152089e+02
27,10,3,4.152089e+02
27,10,5,4.075114e+02
27,10,10,4.074304e+02
27,10,20,4.055448e+02
27,10,30,4.053187e+02
27,10,40,4.052336e+02
27,10,50,4.052138e+02
27,10,60,4.052138e+02
27,10,70,4.052095e+02
27,10,80,4.052095e+02
27,10,90,4.052095e+02
27,10,100,4.052024e+02
27,10,1,4.078860e+02
27,10,2,4.067396e+02
27,10,3,4.064447e+02
27,10,5,4.064447e+02
27,10,10,4.012279e+02
27,10,20,3.953701e+02
27,10,30,3.952704e+02
27,10,40,3.951413e+02
27,10,50,3.951271e+02
27,10,60,3.951260e+02
27,10,70,3.951260e+02
27,10,80,3.951260e+02
27,10,90,3.951140e+02
27,10,100,3.951140e+02
27,10,1,4.238353e+02
27,10,2,4.101690e+02
27,10,3,4.023263e+02
27,10,5,3.989719e+02
27,10,10,3.974291e+02
27,10,20,3.963026e+02
27,10,30,3.945280e+02
27,10,40,3.945278e+02
27,10,50,3.943068e+02
27,10,60,3.942836e+02
27,10,70,3.941058e+02
27,10,80,3.941058e+02
27,10,90,3.940274e+02
27,10,100,3.940274e+02
27,10,1,4.159428e+02
27,10,2,4.159428e+02
27,10,3,4.157124e+02
27,10,5,4.154148e+02
27,10,10,4.120439e+02
27,10,20,4.113521e+02
27,10,30,4.113521e+02
27,10,40,4.064264e+02
27,10,50,4.045033e+02
27,10,60,3.973757e+02
27,10,70,3.963787e+02
27,10,80,3.961964e+02
27,10,90,3.961964e+02
