funcid,dim,milestone,error
14,10,1,3.142241e+03
14,10,2,3.142241e+03
14,10,3,2.390067e+03
14,10,5,7.538679e+02
14,10,10,3.809496e+02
14,10,20,2.685325e+02
14,10,30,9.680856e+01
14,10,40,9.680856e+01
14,10,50,9.680856e+01
14,10,60,9.680856e+01
14,10,70,8.555824e+01
14,10,80,8.555824e+01
14,10,90,8.555824e+01
14,10,100,8.555824e+01
14,10,1,1.641302e+04
14,10,2,1.639352e+04
14,10,3,1.259586e+04
14,10,5,6.960549e+03
14,10,10,1.864587e+02
14,10,20,1.066833e+02
14,10,30,6.231175e+01
14,10,40,6.092774e+01
14,10,50,4.428420e+01
14,10,60,4.428420e+01
14,10,70,4.428420e+01
14,10,80,4.386124e+01
14,10,90,4.386124e+01
14,10,100,4.386124e+01
14,10,1,6.684126e+03
14,10,2,5.925275e+03
14,10,3,4.981563e+03
14,10,5,4.793525e+03
14,10,10,3.539317e+02
14,10,20,3.013016e+02
14,10,30,2.006025e+02
14,10,40,1.696400e+02
14,10,50,1.327202e+02
14,10,60,1.327202e+02
14,10,70,1.327202e+02
14,10,80,8.058881e+01
14,10,90,8.058881e+01
14,10,100,8.058881e+01
14,10,1,4.314160e+02
14,10,2,2.895641e+02
14,10,3,2.173443e+02
14,10,5,2.061587e+02
14,10,10,1.186856e+02
14,10,20,1.051652e+02
14,10,30,9.035205e+01
14,10,40,6.457413e+01
14,10,50,6.457413e+01
14,10,60,6.457413e+01
14,10,70,6.457413e+01
14,10,80,6.457413e+01
14,10,90,6.438823e+01
14,10,100,6.426326e+01
14,10,1,2.045869e+04
14,10,2,1.255727e+04
14,10,3,2.952785e+03
14,10,5,8.034124e+02
14,10,10,8.034124e+02
14,10,20,3.123591e+02
14,10,30,3.123591e+02
14,10,40,3.123591e+02
14,10,50,3.123591e+02
14,10,60,3.123591e+02
14,10,70,3.123591e+02
14,10,80,3.122341e+02
14,10,90,3.122341e+02
14,10,100,3.122341e+02
14,10,1,5.718703e+03
14,10,2,5.718703e+03
14,10,3,5.718703e+03
14,10,5,5.718703e+03
14,10,10,1.552788e+03
14,10,20,6.190600e+02
14,10,30,5.745937e+02
14,10,40,5.632389e+02
14,10,50,5.632389e+02
14,10,60,5.632389e+02
14,10,70,5.632389e+02
14,10,80,5.632389e+02
14,10,90,5.632389e+02
14,10,100,5.632389e+02
14,10,1,1.711086e+04
14,10,2,1.286580e+04
14,10,3,1.286580e+04
14,10,5,4.983354e+03
14,10,10,6.667561e+02
14,10,20,1.642407e+02
14,10,30,1.484834e+02
14,10,40,1.469874e+02
14,10,50,1.321203e+02
14,10,60,1.321203e+02
14,10,70,1.321203e+02
14,10,80,1.321203e+02
14,10,90,1.321203e+02
14,10,100,1.321203e+02
14,10,1,4.230793e+03
14,10,2,4.230793e+03
14,10,3,4.216742e+03
14,10,5,3.692382e+03
14,10,10,3.692382e+03
14,10,20,6.867663e+02
14,10,30,1.313567e+02
14,10,40,1.216573e+02
14,10,50,1.216573e+02
14,10,60,1.216573e+02
14,10,70,1.216573e+02
14,10,80,1.216573e+02
14,10,90,1.131555e+02
14,10,100,1.131555e+02
14,10,1,2.964806e+03
14,10,2,2.612986e+03
14,10,3,3.045655e+02
14,10,5,2.432518e+02
14,10,10,1.864086e+02
14,10,20,8.940925e+01
14,10,30,8.940925e+01
14,10,40,8.940925e+01
14,10,50,8.940925e+01
14,10,60,8.940925e+01
14,10,70,8.703233e+01
14,10,80,8.703233e+01
14,10,90,8.703233e+01
14,10,100,8.703233e+01
14,10,1,1.581806e+04
14,10,2,9.954759e+03
14,10,3,8.150765e+03
14,10,5,7.597995e+03
14,10,10,7.324378e+03
14,10,20,4.992300e+03
14,10,30,2.895119e+03
14,10,40,2.486379e+03
14,10,50,8.465792e+01
14,10,60,8.465792e+01
14,10,70,8.465792e+01
14,10,80,8.463891e+01
14,10,90,8.463891e+01
14,10,100,8.463891e+01
14,10,1,1.785993e+04
14,10,2,1.785993e+04
14,10,3,1.496642e+04
14,10,5,5.960607e+02
14,10,10,2.758603e+02
14,10,20,9.472852e+01
14,10,30,9.279120e+01
14,10,40,9.024891e+01
14,10,50,8.649192e+01
14,10,60,8.649192e+01
14,10,70,8.539911e+01
14,10,80,7.878491e+01
14,10,90,7.878491e+01
14,10,100,7.878491e+01
14,10,1,1.138341e+03
14,10,2,1.138341e+03
14,10,3,8.237923e+02
14,10,5,3.914191e+02
