funcid,dim,milestone,error
30,10,1,6.224590e+06
30,10,2,6.224590e+06
30,10,3,5.627146e+06
30,10,5,5.627146e+06
30,10,10,5.627146e+06
30,10,20,2.842349e+06
30,10,30,2.842349e+06
30,10,40,2.842349e+06
30,10,50,2.842349e+06
30,10,60,2.160611e+06
30,10,70,2.160611e+06
30,10,80,2.160611e+06
30,10,90,2.160611e+06
30,10,100,1.487051e+06
30,10,1,1.758073e+07
30,10,2,3.000457e+06
30,10,3,3.000457e+06
30,10,5,2.884025e+06
30,10,10,1.716001e+06
30,10,20,8.675549e+05
30,10,30,8.675549e+05
30,10,40,5.455327e+05
30,10,50,5.455327e+05
30,10,60,5.455327e+05
30,10,70,5.455327e+05
30,10,80,5.455327e+05
30,10,90,5.455327e+05
30,10,100,5.455327e+05
30,10,1,2.644827e+06
30,10,2,1.787016e+06
30,10,3,1.787016e+06
30,10,5,1.440682e+06
30,10,10,2.994855e+05
30,10,20,1.322797e+05
30,10,30,9.469716e+04
30,10,40,9.303050e+04
30,10,50,9.259442e+04
30,10,60,9.259442e+04
30,10,70,6.657207e+04
30,10,80,6.657207e+04
30,10,90,6.657207e+04
30,10,100,6.657207e+04
30,10,1,2.547885e+06
30,10,2,2.239282e+06
30,10,3,2.207457e+06
30,10,5,1.959981e+06
30,10,10,5.574087e+05
30,10,20,7.135479e+04
30,10,30,5.514047e+04
30,10,40,3.722564e+04
30,10,50,2.443059e+04
30,10,60,2.297266e+04
30,10,70,2.263428e+04
30,10,80,2.263242e+04
30,10,90,2.256368e+04
30,10,100,2.245679e+04
30,10,1,2.180895e+06
30,10,2,8.845904e+05
30,10,3,8.832380e+05
30,10,5,8.828633e+05
30,10,10,8.777948e+05
30,10,20,8.777948e+05
30,10,30,8.736169e+05
30,10,40,8.693149e+05
30,10,50,8.693149e+05
30,10,60,8.689592e+05
30,10,70,8.689592e+05
30,10,80,8.689451e+05
30,10,90,8.689451e+05
30,10,100,8.689451e+05
30,10,1,8.828640e+05
30,10,2,8.812621e+05
30,10,3,8.736700e+05
30,10,5,8.714337e+05
30,10,10,6.754766e+05
30,10,20,1.210136e+05
30,10,30,8.333138e+04
30,10,40,6.782454e+04
30,10,50,6.753198e+04
30,10,60,6.752797e+04
30,10,70,6.752797e+04
30,10,80,6.752797e+04
30,10,90,6.752797e+04
30,10,100,6.752797e+04
30,10,1,9.315096e+05
30,10,2,1.594940e+05
30,10,3,1.583943e+05
