funcid,dim,milestone,error
29,10,1,6.133799e+02
29,10,2,6.133799e+02
29,10,3,6.133799e+02
29,10,5,4.808104e+02
29,10,10,4.615380e+02
29,10,20,4.615380e+02
29,10,30,4.138287e+02
29,10,40,3.251624e+02
29,10,50,3.251624e+02
29,10,60,3.021133e+02
29,10,70,3.021133e+02
29,10,80,3.021133e+02
29,10,90,3.021133e+02
29,10,100,3.021133e+02
29,10,1,6.662754e+02
29,10,2,5.094480e+02
29,10,3,5.094480e+02
29,10,5,3.888950e+02
29,10,10,3.888950e+02
29,10,20,3.888950e+02
29,10,30,3.781369e+02
29,10,40,3.616578e+02
29,10,50,3.616578e+02
29,10,60,3.616578e+02
29,10,70,3.574546e+02
29,10,80,3.382107e+02
29,10,90,3.382107e+02
29,10,100,3.382107e+02
29,10,1,3.805972e+02
29,10,2,3.805972e+02
29,10,3,3.725201e+02
29,10,5,3.470003e+02
29,10,10,3.377573e+02
29,10,20,3.021374e+02
29,10,30,2.982231e+02
29,10,40,2.910077e+02
29,10,50,2.702299e+02
29,10,60,2.536379e+02
29,10,70,2.536379e+02
29,10,80,2.536379e+02
29,10,90,2.536379e+02
29,10,100,2.536379e+02
29,10,1,3.535911e+02
29,10,2,3.535911e+02
29,10,3,3.497378e+02
29,10,5,3.484001e+02
29,10,10,3.255607e+02
29,10,20,3.234186e+02
29,10,30,3.234186e+02
29,10,40,3.230187e+02
29,10,50,3.229692e+02
29,10,60,3.219926e+02
29,10,70,3.219423e+02
29,10,80,3.215844e+02
29,10,90,3.215831e+02
29,10,100,3.196735e+02
29,10,1,3.595979e+02
29,10,2,3.550607e+02
29,10,3,3.525472e+02
29,10,5,3.474067e+02
29,10,10,3.258039e+02
29,10,20,3.084754e+02
29,10,30,3.045111e+02
29,10,40,3.042874e+02
29,10,50,3.002886e+02
29,10,60,2.950804e+02
29,10,70,2.950804e+02
29,10,80,2.946998e+02
29,10,90,2.942889e+02
29,10,100,2.942889e+02
29,10,1,6.365411e+02
29,10,2,6.177008e+02
29,10,3,6.177008e+02
29,10,5,4.122626e+02
29,10,10,4.061576e+02
29,10,20,3.412239e+02
29,10,30,3.356432e+02
29,10,40,3.343821e+02
29,10,50,3.328565e+02
29,10,60,3.328565e+02
29,10,70,3.323312e+02
29,10,80,3.316782e+02
29,10,90,3.315460e+02
29,10,100,3.315460e+02
29,10,1,4.806494e+02
29,10,2,4.789574e+02
29,10,3,4.768237e+02
29,10,5,4.688551e+02
29,10,10,4.610440e+02
29,10,20,4.517466e+02
29,10,30,4.501874e+02
29,10,40,4.501874e+02
29,10,50,4.452429e+02
29,10,60,4.407400e+02
29,10,70,4.392941e+02
29,10,80,4.392204e+02
29,10,90,4.392204e+02
29,10,100,4.392204e+02
29,10,1,3.498306e+02
29,10,2,3.482672e+02
29,10,3,3.429477e+02
29,10,5,3.327451e+02
29,10,10,3.279752e+02
29,10,20,3.247909e+02
29,10,30,3.247909e+02
29,10,40,3.247909e+02
29,10,50,3.158062e+02
29,10,60,3.125124e+02
29,10,70,3.125124e+02
29,10,80,3.125124e+02
29,10,90,3.092879e+02
29,10,100,3.092879e+02
29,10,1,4.345729e+02
29,10,2,4.166813e+02
29,10,3,4.120233e+02
29,10,5,4.120233e+02
29,10,10,3.968882e+02
29,10,20,3.968882e+02
29,10,30,3.968882e+02
29,10,40,3.967572e+02
29,10,50,3.940483e+02
29,10,60,3.940483e+02
29,10,70,3.940483e+02
29,10,80,3.939071e+02
29,10,90,3.920197e+02
29,10,100,3.920197e+02
29,10,1,6.202160e+02
29,10,2,4.832413e+02
29,10,3,3.722256e+02
29,10,5,3.722256e+02
29,10,10,3.547591e+02
29,10,20,3.486303e+02
29,10,30,3.457088e+02
29,10,40,3.457088e+02
29,10,50,3.457088e+02
29,10,60,3.457088e+02
29,10,70,3.452442e+02
29,10,80,3.452442e+02
29,10,90,3.435976e+02
29,10,100,3.435976e+02
