funcid,dim,milestone,error
16,10,1,5.604627e+02
16,10,2,1.037797e+02
16,10,3,1.037797e+02
16,10,5,1.037797e+02
16,10,10,1.037797e+02
16,10,20,1.037797e+02
16,10,30,1.037797e+02
16,10,40,1.037797e+02
16,10,50,9.335380e+01
16,10,60,9.335380e+01
16,10,70,5.709534e+01
16,10,80,5.709534e+01
16,10,90,5.709534e+01
16,10,100,5.709534e+01
16,10,1,2.524055e+02
16,10,2,2.493353e+02
16,10,3,1.574664e+02
16,10,5,1.544741e+02
16,10,10,1.523311e+02
16,10,20,1.461903e+02
16,10,30,1.461882e+02
16,10,40,1.461882e+02
16,10,50,1.448870e+02
16,10,60,1.346445e+02
16,10,70,1.346435e+02
16,10,80,1.346435e+02
16,10,90,1.346435e+02
16,10,100,1.346435e+02
16,10,1,3.525206e+02
16,10,2,3.525206e+02
16,10,3,3.165872e+02
16,10,5,3.165872e+02
16,10,10,3.165872e+02
16,10,20,3.093128e+02
16,10,30,3.005552e+02
16,10,40,2.847939e+02
16,10,50,2.847939e+02
16,10,60,2.847939e+02
16,10,70,2.847939e+02
16,10,80,2.847939e+02
16,10,90,2.847939e+02
16,10,100,2.847939e+02
16,10,1,3.303699e+02
16,10,2,3.063000e+02
16,10,3,2.966448e+02
16,10,5,2.469683e+02
16,10,10,2.296662e+02
16,10,20,2.239357e+02
16,10,30,2.178771e+02
16,10,40,2.141214e+02
16,10,50,2.085271e+02
16,10,60,1.610493e+02
16,10,70,1.499477e+02
16,10,80,1.477171e+02
16,10,90,1.471611e+02
16,10,100,1.458660e+02
