funcid,dim,milestone,error
3,10,1,1.755445e+04
3,10,2,7.247667e+03
3,10,3,7.247667e+03
3,10,5,4.461546e+03
3,10,10,4.461546e+03
3,10,20,2.205109e+03
3,10,30,2.205109e+03
3,10,40,2.205109e+03
3,10,50,2.205109e+03
3,10,60,2.205109e+03
3,10,70,2.205109e+03
3,10,80,2.205109e+03
3,10,90,2.205109e+03
3,10,100,2.205109e+03
3,10,1,2.537668e+04
3,10,2,1.929269e+04
3,10,3,1.172223e+04
3,10,5,8.053385e+03
3,10,10,4.752670e+03
3,10,20,3.021541e+03
3,10,30,2.475770e+03
3,10,40,1.440024e+03
3,10,50,1.038038e+03
3,10,60,1.038038e+03
3,10,70,9.368500e+02
3,10,80,9.368500e+02
3,10,90,9.368500e+02
3,10,100,9.368500e+02
3,10,1,1.813353e+04
3,10,2,8.272637e+03
3,10,3,2.293683e+03
3,10,5,2.190248e+03
3,10,10,1.750741e+03
3,10,20,5.750867e+02
3,10,30,5.411521e+02
3,10,40,5.411521e+02
3,10,50,5.411521e+02
3,10,60,5.411521e+02
3,10,70,5.411521e+02
3,10,80,5.411521e+02
3,10,90,5.411521e+02
3,10,100,3.403378e+02
