funcid,dim,milestone,error
15,10,1,2.763943e+04
15,10,2,2.144545e+04
15,10,3,2.144545e+04
15,10,5,9.270024e+03
15,10,10,4.665203e+03
15,10,20,2.393025e+03
15,10,30,2.393025e+03
15,10,40,2.020109e+03
15,10,50,2.020109e+03
15,10,60,2.020109e+03
15,10,70,2.020109e+03
15,10,80,1.856925e+03
15,10,90,1.596807e+03
15,10,100,1.125226e+03
15,10,1,1.636227e+03
15,10,2,1.594184e+03
15,10,3,1.594184e+03
15,10,5,1.587147e+03
15,10,10,1.377849e+03
15,10,20,8.647604e+01
15,10,30,6.415333e+01
15,10,40,5.562858e+01
15,10,50,5.359948e+01
15,10,60,5.359948e+01
15,10,70,5.114755e+01
15,10,80,4.649416e+01
15,10,90,4.598446e+01
15,10,100,4.598446e+01
15,10,1,5.471774e+03
15,10,2,5.252124e+03
15,10,3,5.128494e+03
15,10,5,3.811631e+03
15,10,10,1.578795e+03
15,10,20,7.062296e+02
15,10,30,4.337070e+02
15,10,40,3.954338e+02
15,10,50,2.149731e+02
15,10,60,1.310175e+02
15,10,70,1.310175e+02
15,10,80,1.310175e+02
15,10,90,1.310175e+02
15,10,100,1.310175e+02
15,10,1,1.966129e+05
15,10,2,9.491544e+04
15,10,3,6.009491e+04
15,10,5,2.651425e+04
15,10,10,6.718026e+03
15,10,20,5.220194e+02
15,10,30,3.815044e+02
15,10,40,3.123561e+02
15,10,50,3.097897e+02
15,10,60,2.840718e+02
15,10,70,2.840594e+02
15,10,80,2.840594e+02
15,10,90,2.776529e+02
15,10,100,2.764401e+02
