funcid,dim,milestone,error
9,10,1,3.379431e+02
9,10,2,3.379431e+02
9,10,3,3.379431e+02
9,10,5,3.379431e+02
9,10,10,2.012140e+02
9,10,20,2.012140e+02
9,10,30,2.012140e+02
9,10,40,2.012140e+02
9,10,50,2.012140e+02
9,10,60,2.012140e+02
9,10,70,2.012140e+02
9,10,80,2.012140e+02
9,10,90,1.821487e+02
9,10,100,1.821487e+02
9,10,1,4.236722e+02
9,10,2,1.832474e+02
9,10,3,1.832474e+02
9,10,5,1.832474e+02
9,10,10,1.646972e+02
9,10,20,1.646972e+02
9,10,30,1.066034e+02
9,10,40,6.851504e+01
9,10,50,6.851504e+01
9,10,60,6.449096e+01
9,10,70,6.449096e+01
9,10,80,6.449096e+01
9,10,90,6.449096e+01
9,10,100,6.449096e+01
9,10,1,3.732029e+02
9,10,2,1.246654e+02
9,10,3,1.246654e+02
9,10,5,1.081050e+02
9,10,10,7.898652e+01
9,10,20,6.268950e+01
9,10,30,5.472339e+01
9,10,40,4.073069e+01
9,10,50,2.167180e+01
9,10,60,2.167180e+01
9,10,70,2.167180e+01
9,10,80,2.167180e+01
9,10,90,2.062413e+01
9,10,100,2.062413e+01
