funcid,dim,milestone,error
5,10,1,6.733970e+01
5,10,2,5.844707e+01
5,10,3,5.651869e+01
5,10,5,5.651869e+01
5,10,10,4.341020e+01
5,10,20,4.341020e+01
5,10,30,4.341020e+01
5,10,40,4.341020e+01
5,10,50,4.341020e+01
5,10,60,4.341020e+01
5,10,70,4.341020e+01
5,10,80,4.341020e+01
5,10,90,4.341020e+01
5,10,100,3.407952e+01
5,10,1,6.720871e+01
5,10,2,6.720871e+01
5,10,3,6.720871e+01
5,10,5,5.699755e+01
5,10,10,4.639041e+01
5,10,20,3.525023e+01
5,10,30,2.674553e+01
5,10,40,2.648426e+01
5,10,50,2.648426e+01
5,10,60,2.648426e+01
5,10,70,2.590464e+01
5,10,80,2.590464e+01
5,10,90,2.590464e+01
5,10,100,1.854804e+01
5,10,1,6.089072e+01
5,10,2,6.089072e+01
5,10,3,6.076763e+01
5,10,5,5.386820e+01
5,10,10,5.332202e+01
5,10,20,4.473670e+01
5,10,30,3.695467e+01
5,10,40,3.247552e+01
5,10,50,2.947483e+01
5,10,60,2.947483e+01
5,10,70,2.947483e+01
5,10,80,2.947483e+01
5,10,90,2.947483e+01
5,10,100,2.947483e+01
5,10,1,4.748618e+01
5,10,2,4.067211e+01
5,10,3,4.021161e+01
5,10,5,3.942613e+01
5,10,10,3.823428e+01
5,10,20,3.776682e+01
5,10,30,3.715564e+01
5,10,40,3.685489e+01
5,10,50,3.667083e+01
5,10,60,3.632342e+01
5,10,70,3.602485e+01
5,10,80,3.549056e+01
5,10,90,3.520674e+01
5,10,100,3.514460e+01
5,10,1,1.002043e+02
5,10,2,9.366798e+01
5,10,3,8.505549e+01
5,10,5,8.475098e+01
5,10,10,8.421379e+01
5,10,20,8.357831e+01
5,10,30,8.239402e+01
5,10,40,8.063786e+01
5,10,50,5.791476e+01
5,10,60,4.607908e+01
5,10,70,4.519814e+01
5,10,80,4.504854e+01
5,10,90,4.473485e+01
5,10,100,4.460775e+01
5,10,1,6.701286e+01
5,10,2,6.390031e+01
5,10,3,5.744517e+01
5,10,5,5.724173e+01
5,10,10,5.284223e+01
5,10,20,5.089497e+01
5,10,30,4.847723e+01
5,10,40,4.736531e+01
5,10,50,4.725398e+01
5,10,60,4.697816e+01
5,10,70,4.697816e+01
5,10,80,4.679489e+01
5,10,90,4.671103e+01
5,10,100,4.668680e+01
5,10,1,5.868387e+01
5,10,2,5.584184e+01
5,10,3,5.296523e+01
5,10,5,4.142128e+01
5,10,10,3.644187e+01
5,10,20,3.187896e+01
5,10,30,3.150411e+01
5,10,40,3.075586e+01
5,10,50,3.074623e+01
5,10,60,3.049506e+01
5,10,70,3.047210e+01
5,10,80,2.964379e+01
5,10,90,2.940164e+01
5,10,100,2.934993e+01
5,10,1,8.118444e+01
5,10,2,7.240993e+01
5,10,3,7.039536e+01
5,10,5,6.388516e+01
5,10,10,5.596885e+01
5,10,20,5.313746e+01
5,10,30,5.255980e+01
5,10,40,5.251842e+01
5,10,50,5.248885e+01
5,10,60,5.217429e+01
5,10,70,5.216390e+01
5,10,80,5.216148e+01
5,10,90,5.214475e+01
5,10,100,5.214475e+01
5,10,1,4.853247e+01
5,10,2,4.357042e+01
5,10,3,4.280041e+01
5,10,5,4.063452e+01
5,10,10,3.680074e+01
5,10,20,3.383546e+01
5,10,30,3.183065e+01
5,10,40,3.049838e+01
5,10,50,2.881868e+01
5,10,60,2.873335e+01
5,10,70,2.855000e+01
5,10,80,2.841855e+01
5,10,90,2.838818e+01
5,10,100,2.838818e+01
5,10,1,5.677032e+01
5,10,2,5.320942e+01
5,10,3,3.819389e+01
5,10,5,3.708821e+01
5,10,10,3.465850e+01
5,10,20,3.281170e+01
5,10,30,3.267705e+01
5,10,40,3.161194e+01
5,10,50,3.123286e+01
5,10,60,3.108108e+01
5,10,70,3.103957e+01
5,10,80,3.100699e+01
5,10,90,3.095894e+01
5,10,100,3.095894e+01
5,10,1,6.146898e+01
5,10,2,5.740649e+01
5,10,3,5.699859e+01
5,10,5,3.543178e+01
5,10,10,2.881822e+01
5,10,20,2.511633e+01
5,10,30,2.425603e+01
5,10,40,2.408023e+01
5,10,50,2.400741e+01
5,10,60,2.400225e+01
5,10,70,2.400215e+01
5,10,80,2.397979e+01
5,10,90,2.397979e+01
5,10,100,2.397979e+01
5,10,1,4.678927e+01
5,10,2,3.394294e+01
5,10,3,3.298115e+01
5,10,5,3.036785e+01
5,10,10,3.036785e+01
5,10,20,2.727244e+01
5,10,30,2.679111e+01
5,10,40,2.679111e+01
5,10,50,2.679111e+01
5,10,60,2.679111e+01
5,10,70,2.534818e+01
5,10,80,2.175045e+01
5,10,90,2.175045e+01
5,10,100,2.175045e+01
5,10,1,6.226510e+01
5,10,2,4.887846e+01
5,10,3,3.876936e+01
5,10,5,3.715274e+01
5,10,10,3.715274e+01
5,10,20,3.672836e+01
5,10,30,3.645150e+01
5,10,40,3.645150e+01
5,10,50,3.645150e+01
5,10,60,3.645150e+01
5,10,70,3.645150e+01
5,10,80,3.645150e+01
5,10,90,3.645150e+01
5,10,100,3.645150e+01
5,10,1,5.205427e+01
5,10,2,4.956503e+01
5,10,3,4.675912e+01
5,10,5,4.206678e+01
5,10,10,3.835580e+01
5,10,20,3.827377e+01
5,10,30,3.814560e+01
5,10,40,3.509012e+01
5,10,50,3.099240e+01
5,10,60,2.927610e+01
5,10,70,2.927610e+01
5,10,80,2.927610e+01
5,10,90,2.927610e+01
5,10,100,2.927610e+01
5,10,1,4.919338e+01
5,10,2,4.170913e+01
5,10,3,3.789170e+01
5,10,5,3.631762e+01
5,10,10,3.575301e+01
5,10,20,3.575301e+01
5,10,30,3.575301e+01
5,10,40,3.436384e+01
5,10,50,3.392127e+01
5,10,60,3.392127e+01
5,10,70,3.348170e+01
5,10,80,3.348170e+01
5,10,90,3.348170e+01
5,10,100,3.348170e+01
