funcid,dim,milestone,error
28,10,1,5.934330e+02
28,10,2,5.934330e+02
28,10,3,5.912053e+02
28,10,5,5.912053e+02
28,10,10,5.912053e+02
28,10,20,4.841899e+02
28,10,30,4.448797e+02
28,10,40,4.448797e+02
28,10,50,4.296950e+02
28,10,60,4.296950e+02
28,10,70,4.296950e+02
28,10,80,4.296950e+02
28,10,90,4.296950e+02
28,10,100,4.296950e+02
28,10,1,6.015484e+02
28,10,2,5.995778e+02
28,10,3,5.869512e+02
28,10,5,5.869512e+02
28,10,10,5.857567e+02
28,10,20,5.847025e+02
28,10,30,5.846755e+02
28,10,40,5.846755e+02
28,10,50,5.846755e+02
28,10,60,5.846755e+02
28,10,70,5.846459e+02
28,10,80,5.846459e+02
28,10,90,5.846459e+02
28,10,100,5.846459e+02
28,10,1,4.974282e+02
28,10,2,4.959538e+02
28,10,3,4.958306e+02
28,10,5,4.950657e+02
28,10,10,4.922787e+02
28,10,20,4.906827e+02
28,10,30,4.871517e+02
28,10,40,4.866599e+02
28,10,50,4.788693e+02
28,10,60,4.787085e+02
28,10,70,4.787063e+02
28,10,80,4.781812e+02
28,10,90,4.780382e+02
28,10,100,4.780382e+02
