funcid,dim,milestone,error
7,10,1,1.346132e+02
7,10,2,1.346132e+02
7,10,3,1.346132e+02
7,10,5,1.346132e+02
7,10,10,1.205847e+02
7,10,20,1.205847e+02
7,10,30,1.146934e+02
7,10,40,1.146934e+02
7,10,50,1.001055e+02
7,10,60,8.231474e+01
7,10,70,8.231474e+01
7,10,80,8.231474e+01
7,10,90,8.231474e+01
7,10,100,8.231474e+01
7,10,1,1.428561e+02
7,10,2,1.121605e+02
7,10,3,1.121605e+02
7,10,5,1.121605e+02
7,10,10,1.044905e+02
7,10,20,8.749919e+01
7,10,30,6.762729e+01
7,10,40,6.762729e+01
7,10,50,6.762729e+01
7,10,60,6.762729e+01
7,10,70,6.762729e+01
7,10,80,6.762729e+01
7,10,90,6.762729e+01
7,10,100,6.762729e+01
7,10,1,1.004151e+02
7,10,2,9.336932e+01
7,10,3,9.336932e+01
7,10,5,7.049197e+01
7,10,10,7.049197e+01
7,10,20,7.049197e+01
7,10,30,5.216198e+01
7,10,40,5.216198e+01
7,10,50,5.216198e+01
7,10,60,5.216198e+01
7,10,70,5.216198e+01
7,10,80,5.216198e+01
7,10,90,5.216198e+01
7,10,100,5.216198e+01
7,10,1,8.297354e+01
7,10,2,7.669062e+01
7,10,3,6.379709e+01
7,10,5,5.375539e+01
7,10,10,4.305407e+01
7,10,20,4.041943e+01
7,10,30,3.954142e+01
7,10,40,3.947668e+01
7,10,50,3.942402e+01
7,10,60,3.933461e+01
7,10,70,3.925057e+01
7,10,80,3.924791e+01
7,10,90,3.923445e+01
7,10,100,3.921263e+01
