funcid,dim,milestone,error
20,10,1,3.995037e+02
20,10,2,1.821846e+02
20,10,3,1.643628e+02
20,10,5,1.643628e+02
20,10,10,1.426476e+02
20,10,20,7.278692e+01
20,10,30,7.278692e+01
20,10,40,7.278692e+01
20,10,50,7.278692e+01
20,10,60,7.278692e+01
20,10,70,7.278692e+01
20,10,80,7.278692e+01
20,10,90,7.278692e+01
20,10,100,7.278692e+01
20,10,1,3.337051e+02
20,10,2,3.236692e+02
20,10,3,2.920792e+02
20,10,5,2.716890e+02
20,10,10,2.700101e+02
20,10,20,2.687090e+02
20,10,30,1.964598e+02
20,10,40,1.625566e+02
20,10,50,1.574833e+02
20,10,60,1.566041e+02
20,10,70,1.566041e+02
20,10,80,1.488366e+02
20,10,90,4.259509e+01
20,10,100,4.259509e+01
20,10,1,2.727851e+02
20,10,2,1.650190e+02
20,10,3,9.644474e+01
20,10,5,7.473002e+01
20,10,10,7.473002e+01
20,10,20,6.296689e+01
20,10,30,4.999409e+01
20,10,40,4.624197e+01
20,10,50,4.624197e+01
20,10,60,4.624197e+01
20,10,70,4.624197e+01
20,10,80,3.850372e+01
20,10,90,3.850372e+01
20,10,100,3.850372e+01
20,10,1,3.480068e+02
20,10,2,3.410134e+02
20,10,3,1.951907e+02
20,10,5,1.522237e+02
20,10,10,1.216644e+02
20,10,20,1.132704e+02
20,10,30,1.090796e+02
20,10,40,1.071489e+02
20,10,50,1.047353e+02
20,10,60,1.040634e+02
20,10,70,1.040634e+02
20,10,80,1.040634e+02
20,10,90,1.040634e+02
20,10,100,1.037433e+02
20,10,1,1.790146e+02
20,10,2,1.478903e+02
20,10,3,1.330206e+02
20,10,5,1.211469e+02
20,10,10,1.038419e+02
20,10,20,9.925000e+01
20,10,30,9.911155e+01
20,10,40,9.910630e+01
20,10,50,9.909040e+01
20,10,60,9.863893e+01
20,10,70,9.863893e+01
20,10,80,9.858079e+01
20,10,90,9.764979e+01
20,10,100,9.251078e+01
20,10,1,2.898191e+02
20,10,2,2.886994e+02
20,10,3,2.882934e+02
20,10,5,2.770630e+02
20,10,10,2.723702e+02
20,10,20,2.684971e+02
20,10,30,2.593849e+02
20,10,40,2.557800e+02
20,10,50,2.550953e+02
20,10,60,2.540789e+02
20,10,70,2.538975e+02
20,10,80,2.537090e+02
20,10,90,2.536793e+02
20,10,100,2.532049e+02
20,10,1,2.295027e+02
20,10,2,2.289583e+02
20,10,3,2.289583e+02
20,10,5,1.769712e+02
20,10,10,1.742238e+02
20,10,20,1.742238e+02
20,10,30,1.737414e+02
20,10,40,1.737414e+02
20,10,50,1.737414e+02
20,10,60,1.737414e+02
20,10,70,1.737414e+02
20,10,80,1.737414e+02
20,10,90,1.737414e+02
20,10,100,1.737414e+02
20,10,1,1.664507e+02
20,10,2,1.501566e+02
20,10,3,1.453462e+02
20,10,5,1.453462e+02
20,10,10,1.408004e+02
20,10,20,1.380085e+02
20,10,30,1.324606e+02
20,10,40,1.310730e+02
20,10,50,1.297851e+02
20,10,60,1.294462e+02
20,10,70,1.290546e+02
20,10,80,1.290546e+02
20,10,90,1.290546e+02
20,10,100,1.290546e+02
20,10,1,1.189163e+02
20,10,2,7.615483e+01
20,10,3,5.951154e+01
20,10,5,5.563091e+01
20,10,10,5.311892e+01
20,10,20,5.295280e+01
20,10,30,5.195404e+01
20,10,40,5.195404e+01
20,10,50,5.191817e+01
20,10,60,5.188109e+01
20,10,70,5.188109e+01
20,10,80,5.175325e+01
20,10,90,5.175325e+01
20,10,100,5.175325e+01
20,10,1,1.801853e+02
20,10,2,1.373158e+02
20,10,3,1.364383e+02
20,10,5,1.303579e+02
20,10,10,1.303579e+02
20,10,20,1.303579e+02
20,10,30,1.303579e+02
20,10,40,1.300962e+02
20,10,50,1.300962e+02
20,10,60,1.300962e+02
20,10,70,1.300962e+02
20,10,80,1.300962e+02
20,10,90,1.300962e+02
20,10,100,1.300962e+02
20,10,1,1.802913e+02
20,10,2,1.772397e+02
20,10,3,1.667753e+02
20,10,5,1.622206e+02
20,10,10,1.547979e+02
20,10,20,8.720274e+01
20,10,30,8.720274e+01
20,10,40,7.896220e+01
20,10,50,7.762664e+01
20,10,60,7.762664e+01
20,10,70,7.762664e+01
20,10,80,5.481745e+01
20,10,90,5.481745e+01
20,10,100,5.481745e+01
20,10,1,2.808577e+02
20,10,2,2.296032e+02
20,10,3,2.012441e+02
20,10,5,1.952618e+02
20,10,10,1.952618e+02
20,10,20,8.030885e+01
20,10,30,8.030885e+01
20,10,40,8.030885e+01
20,10,50,8.030885e+01
20,10,60,8.030885e+01
20,10,70,8.030885e+01
20,10,80,8.030885e+01
20,10,90,8.030885e+01
20,10,100,8.030885e+01
