funcid,dim,milestone,error
13,10,1,1.187944e+06
13,10,2,3.236768e+05
13,10,3,3.236768e+05
13,10,5,3.236768e+05
13,10,10,3.236768e+05
13,10,20,9.205765e+04
13,10,30,9.205765e+04
13,10,40,9.205765e+04
13,10,50,9.205765e+04
13,10,60,9.205765e+04
13,10,70,9.205765e+04
13,10,80,9.205765e+04
13,10,90,8.893631e+04
13,10,100,8.893631e+04
13,10,1,4.721000e+04
13,10,2,3.617104e+04
13,10,3,3.607854e+04
13,10,5,2.455691e+04
13,10,10,2.058781e+04
13,10,20,2.056625e+04
13,10,30,2.056074e+04
13,10,40,2.056065e+04
13,10,50,2.056065e+04
13,10,60,2.056065e+04
13,10,70,2.056065e+04
13,10,80,2.055812e+04
13,10,90,2.055812e+04
13,10,100,2.055812e+04
13,10,1,7.976090e+04
13,10,2,7.976090e+04
13,10,3,7.976090e+04
13,10,5,2.664439e+04
13,10,10,2.089228e+04
13,10,20,2.089228e+04
13,10,30,2.089228e+04
13,10,40,2.089228e+04
13,10,50,2.089228e+04
13,10,60,2.089228e+04
13,10,70,2.089228e+04
13,10,80,2.089228e+04
13,10,90,2.089228e+04
13,10,100,2.089228e+04
13,10,1,2.149265e+04
13,10,2,1.207192e+04
13,10,3,1.207192e+04
13,10,5,1.161281e+04
13,10,10,1.138103e+04
13,10,20,1.138103e+04
13,10,30,1.138084e+04
13,10,40,1.138059e+04
13,10,50,1.138059e+04
13,10,60,1.138059e+04
13,10,70,1.138059e+04
13,10,80,1.138059e+04
13,10,90,1.138059e+04
13,10,100,1.138059e+04
13,10,1,1.170820e+05
13,10,2,1.170820e+05
13,10,3,5.817370e+04
13,10,5,6.157304e+03
13,10,10,4.639137e+03
13,10,20,4.639137e+03
13,10,30,4.612376e+03
13,10,40,4.612376e+03
13,10,50,4.612376e+03
13,10,60,4.612376e+03
13,10,70,4.612376e+03
13,10,80,4.612376e+03
13,10,90,4.612376e+03
13,10,100,4.612376e+03
13,10,1,2.480957e+04
13,10,2,2.228857e+04
13,10,3,2.228857e+04
13,10,5,7.490181e+03
13,10,10,6.949555e+03
13,10,20,6.079026e+03
13,10,30,5.542605e+03
13,10,40,4.653158e+03
13,10,50,4.653158e+03
13,10,60,4.653158e+03
13,10,70,4.653158e+03
13,10,80,4.653158e+03
