funcid,dim,milestone,error
19,10,1,3.411268e+04
19,10,2,3.411268e+04
19,10,3,3.411268e+04
19,10,5,3.411268e+04
19,10,10,8.320289e+03
19,10,20,8.320289e+03
19,10,30,4.073266e+02
19,10,40,4.073266e+02
19,10,50,4.073266e+02
19,10,60,4.073266e+02
19,10,70,4.073266e+02
19,10,80,4.073266e+02
19,10,90,4.073266e+02
19,10,100,4.073266e+02
19,10,1,4.016510e+04
19,10,2,2.106217e+04
19,10,3,1.410935e+04
19,10,5,1.410935e+04
19,10,10,6.472176e+03
19,10,20,6.681753e+02
19,10,30,6.657426e+02
19,10,40,6.647609e+02
19,10,50,6.638666e+02
19,10,60,3.844585e+02
19,10,70,3.793986e+02
19,10,80,3.793986e+02
19,10,90,3.219756e+02
19,10,100,3.090436e+02
19,10,1,3.787685e+04
19,10,2,3.040062e+03
19,10,3,2.245808e+03
19,10,5,1.967153e+03
19,10,10,1.025612e+03
19,10,20,6.055096e+02
19,10,30,4.562123e+02
19,10,40,4.562123e+02
19,10,50,4.562123e+02
19,10,60,4.106711e+02
19,10,70,1.773367e+02
19,10,80,1.773367e+02
19,10,90,1.773367e+02
19,10,100,1.773367e+02
19,10,1,5.943729e+03
19,10,2,5.943729e+03
19,10,3,5.617282e+03
19,10,5,5.411029e+03
19,10,10,8.263442e+02
19,10,20,1.024201e+02
19,10,30,9.210345e+01
19,10,40,9.210345e+01
19,10,50,8.279658e+01
19,10,60,7.863454e+01
19,10,70,6.234112e+01
19,10,80,6.122300e+01
19,10,90,6.122300e+01
19,10,100,6.122300e+01
19,10,1,8.896492e+05
19,10,2,8.895116e+05
19,10,3,7.703060e+05
19,10,5,7.521984e+05
19,10,10,7.298753e+05
19,10,20,4.235117e+05
19,10,30,3.927851e+05
19,10,40,3.760117e+05
19,10,50,3.147517e+05
19,10,60,2.838895e+05
19,10,70,2.728874e+05
19,10,80,2.515817e+05
19,10,90,2.327787e+05
19,10,100,2.085570e+05
19,10,1,3.747293e+05
19,10,2,3.747293e+05
19,10,3,3.746193e+05
19,10,5,3.436608e+05
19,10,10,2.765198e+05
19,10,20,2.325565e+05
19,10,30,2.285029e+05
19,10,40,2.086423e+05
19,10,50,1.830275e+05
19,10,60,1.792741e+05
19,10,70,1.792741e+05
19,10,80,1.771053e+05
19,10,90,1.767869e+05
19,10,100,1.766722e+05
19,10,1,7.528700e+04
19,10,2,3.818701e+04
19,10,3,3.153554e+04
19,10,5,3.863190e+03
19,10,10,3.402499e+02
19,10,20,2.248524e+02
19,10,30,2.218557e+02
19,10,40,2.218557e+02
19,10,50,2.218557e+02
19,10,60,2.211383e+02
19,10,70,2.211383e+02
19,10,80,2.211383e+02
19,10,90,2.211383e+02
19,10,100,2.211383e+02
19,10,1,2.792480e+04
19,10,2,1.361939e+04
19,10,3,8.739131e+03
19,10,5,7.179357e+03
19,10,10,6.500176e+03
19,10,20,6.323384e+03
19,10,30,4.835700e+03
19,10,40,4.820321e+03
19,10,50,4.820321e+03
19,10,60,4.811228e+03
19,10,70,4.811228e+03
19,10,80,4.810565e+03
19,10,90,4.810565e+03
19,10,100,4.810565e+03
19,10,1,1.752590e+05
19,10,2,8.905017e+04
19,10,3,4.764767e+04
19,10,5,3.149605e+04
19,10,10,2.763036e+04
19,10,20,8.904085e+03
19,10,30,4.266042e+03
19,10,40,2.853414e+03
19,10,50,2.853114e+03
19,10,60,2.741794e+03
19,10,70,2.741794e+03
19,10,80,1.850817e+03
19,10,90,1.850817e+03
19,10,100,1.850817e+03
19,10,1,3.004535e+04
19,10,2,2.946475e+04
19,10,3,2.931444e+04
19,10,5,2.857178e+04
19,10,10,2.797752e+04
19,10,20,2.669923e+04
19,10,30,1.574925e+04
19,10,40,9.121077e+03
19,10,50,7.929994e+03
19,10,60,5.968346e+03
19,10,70,5.738628e+03
19,10,80,5.165473e+03
19,10,90,2.504084e+03
19,10,100,2.504084e+03
19,10,1,1.516707e+04
19,10,2,1.495415e+04
19,10,3,1.491896e+04
19,10,5,1.331790e+04
19,10,10,1.312147e+04
19,10,20,9.526320e+03
19,10,30,8.490067e+03
19,10,40,6.898297e+03
19,10,50,6.115135e+03
19,10,60,5.566981e+03
19,10,70,4.149593e+03
19,10,80,3.681934e+03
19,10,90,3.595311e+03
19,10,100,3.595311e+03
19,10,1,8.002745e+02
19,10,2,8.002745e+02
19,10,3,7.659970e+02
19,10,5,7.659970e+02
19,10,10,7.659970e+02
19,10,20,6.652976e+02
19,10,30,6.652976e+02
19,10,40,6.266542e+02
19,10,50,6.266542e+02
19,10,60,6.266542e+02
19,10,70,4.225258e+02
19,10,80,3.756797e+02
19,10,90,2.728660e+02
19,10,100,2.109447e+02
19,10,1,2.425546e+03
19,10,2,2.150321e+03
19,10,3,1.997805e+03
19,10,5,1.997805e+03
19,10,10,1.619213e+03
19,10,20,1.503850e+03
19,10,30,1.502144e+03
19,10,40,1.487124e+03
19,10,50,7.353545e+02
19,10,60,6.492860e+02
19,10,70,3.288310e+02
19,10,80,2.304909e+02
19,10,90,1.164568e+02
19,10,100,1.141065e+02
19,10,1,8.136889e+06
19,10,2,2.277451e+04
19,10,3,2.277451e+04
19,10,5,8.829692e+03
19,10,10,1.933869e+03
19,10,20,1.310396e+03
19,10,30,1.328534e+02
19,10,40,9.313704e+01
19,10,50,9.313704e+01
19,10,60,7.899434e+01
19,10,70,5.601792e+01
19,10,80,5.601792e+01
19,10,90,5.601792e+01
19,10,100,5.601792e+01
19,10,1,1.165295e+07
19,10,2,4.474290e+04
19,10,3,4.474290e+04
19,10,5,5.514958e+03
19,10,10,2.799361e+02
19,10,20,1.059109e+02
19,10,30,1.059109e+02
19,10,40,1.059109e+02
19,10,50,1.059109e+02
19,10,60,1.059109e+02
19,10,70,1.059109e+02
19,10,80,1.059109e+02
19,10,90,1.059109e+02
19,10,100,1.059109e+02
19,10,1,9.734501e+07
19,10,2,1.080596e+05
19,10,3,4.572656e+04
19,10,5,2.886037e+02
19,10,10,2.886037e+02
19,10,20,2.886037e+02
19,10,30,2.886037e+02
19,10,40,2.886037e+02
19,10,50,2.886037e+02
19,10,60,2.886037e+02
19,10,70,7.641035e+01
19,10,80,7.641035e+01
19,10,90,7.641035e+01
19,10,100,7.641035e+01
19,10,1,3.982327e+07
19,10,2,9.961470e+04
19,10,3,9.961470e+04
19,10,5,9.961470e+04
19,10,10,6.367109e+04
19,10,20,6.367109e+04
19,10,30,8.130723e+03
19,10,40,8.130723e+03
19,10,50,8.130723e+03
19,10,60,8.130723e+03
19,10,70,8.130723e+03
19,10,80,8.130723e+03
19,10,90,2.423729e+03
19,10,100,2.423729e+03
19,10,1,1.235768e+07
19,10,2,2.067339e+05
19,10,3,4.032142e+04
19,10,5,4.032142e+04
19,10,10,4.972593e+03
19,10,20,4.972593e+03
19,10,30,4.972593e+03
19,10,40,4.972593e+03
19,10,50,4.972593e+03
19,10,60,4.972593e+03
19,10,70,1.194403e+03
19,10,80,1.139216e+03
19,10,90,1.139216e+03
19,10,100,1.087165e+03
19,10,1,1.335015e+06
19,10,2,1.701220e+04
19,10,3,1.701220e+04
19,10,5,1.386466e+04
19,10,10,1.386466e+04
19,10,20,7.268270e+03
19,10,30,6.942801e+03
19,10,40,6.942801e+03
19,10,50,6.577364e+03
19,10,60,6.577364e+03
19,10,70,4.918232e+03
19,10,80,3.975822e+03
19,10,90,2.203958e+03
19,10,100,2.189423e+03
19,10,1,4.599624e+06
19,10,2,9.808651e+04
19,10,3,3.122534e+04
19,10,5,3.117350e+04
19,10,10,3.117249e+04
19,10,20,2.909658e+04
19,10,30,1.939807e+04
19,10,40,1.638477e+04
19,10,50,1.623623e+04
19,10,60,1.524460e+04
19,10,70,1.524460e+04
19,10,80,1.386369e+04
19,10,90,1.386369e+04
19,10,100,1.386369e+04
