funcid,dim,milestone,error
4,10,1,7.387062e+01
4,10,2,6.447010e+01
4,10,3,6.447010e+01
4,10,5,6.447010e+01
4,10,10,5.131605e+01
4,10,20,5.131605e+01
4,10,30,5.131605e+01
4,10,40,3.481281e+01
4,10,50,3.481281e+01
4,10,60,3.481281e+01
4,10,70,3.481281e+01
4,10,80,3.481281e+01
4,10,90,3.481281e+01
4,10,100,1.805636e+01
4,10,1,9.541958e+01
4,10,2,9.541958e+01
4,10,3,7.638398e+01
4,10,5,7.638398e+01
4,10,10,3.456841e+01
4,10,20,1.332360e+01
4,10,30,1.332360e+01
4,10,40,1.332360e+01
4,10,50,1.332360e+01
4,10,60,1.332360e+01
4,10,70,1.332360e+01
4,10,80,1.332360e+01
4,10,90,1.310502e+01
4,10,100,1.310502e+01
4,10,1,7.121453e+01
4,10,2,2.578005e+01
4,10,3,2.275836e+01
4,10,5,1.055929e+01
4,10,10,1.055929e+01
4,10,20,1.055929e+01
4,10,30,1.055929e+01
4,10,40,1.055929e+01
4,10,50,1.055929e+01
4,10,60,8.716691e+00
4,10,70,8.716691e+00
4,10,80,8.716691e+00
4,10,90,8.716691e+00
4,10,100,8.716691e+00
4,10,1,8.082983e+01
4,10,2,7.427380e+01
4,10,3,7.393774e+01
4,10,5,7.320864e+01
4,10,10,7.299102e+01
4,10,20,7.271722e+01
4,10,30,7.266068e+01
4,10,40,7.260669e+01
4,10,50,7.256049e+01
4,10,60,7.255504e+01
4,10,70,7.253999e+01
4,10,80,7.251492e+01
4,10,90,7.250459e+01
4,10,100,7.246149e+01
4,10,1,1.395128e+02
4,10,2,9.147458e+01
4,10,3,5.650861e+01
4,10,5,5.568845e+01
4,10,10,3.412549e+01
4,10,20,1.480461e+01
4,10,30,1.244562e+01
4,10,40,1.215290e+01
4,10,50,1.122166e+01
4,10,60,1.096535e+01
4,10,70,8.804206e+00
4,10,80,8.413569e+00
4,10,90,8.091868e+00
4,10,100,7.344893e+00
4,10,1,2.227430e+02
4,10,2,1.184821e+02
4,10,3,8.684358e+01
4,10,5,7.424193e+01
4,10,10,5.048746e+01
4,10,20,3.767918e+01
4,10,30,1.146486e+01
4,10,40,7.798139e+00
4,10,50,7.470257e+00
4,10,60,7.470257e+00
4,10,70,7.137991e+00
4,10,80,7.037980e+00
4,10,90,6.951904e+00
4,10,100,6.910370e+00
4,10,1,1.261951e+02
4,10,2,3.320101e+01
4,10,3,3.081921e+01
4,10,5,2.154470e+01
4,10,10,1.154790e+01
4,10,20,8.789811e+00
4,10,30,5.361063e+00
4,10,40,5.129764e+00
4,10,50,4.661240e+00
4,10,60,4.531431e+00
4,10,70,4.531431e+00
4,10,80,3.994074e+00
4,10,90,3.928466e+00
4,10,100,3.818690e+00
4,10,1,8.779388e+01
4,10,2,2.246989e+01
4,10,3,1.029614e+01
4,10,5,8.504532e+00
4,10,10,7.787112e+00
4,10,20,7.103154e+00
4,10,30,6.616647e+00
4,10,40,6.584477e+00
4,10,50,6.371437e+00
4,10,60,6.275925e+00
4,10,70,6.222941e+00
4,10,80,6.222941e+00
4,10,90,6.213626e+00
4,10,100,6.213626e+00
4,10,1,2.606581e+01
4,10,2,1.168198e+01
4,10,3,1.030780e+01
4,10,5,6.427393e+00
4,10,10,2.902172e+00
4,10,20,2.593405e+00
4,10,30,2.343587e+00
4,10,40,2.185467e+00
4,10,50,2.126832e+00
4,10,60,2.126832e+00
4,10,70,2.117385e+00
4,10,80,2.111877e+00
4,10,90,2.111877e+00
4,10,100,2.111877e+00
4,10,1,1.397455e+02
4,10,2,8.395729e+01
4,10,3,5.605063e+01
4,10,5,4.117408e+01
4,10,10,1.484946e+01
4,10,20,5.999419e+00
4,10,30,5.271378e+00
4,10,40,5.202939e+00
4,10,50,5.199520e+00
4,10,60,5.165010e+00
4,10,70,5.159451e+00
4,10,80,5.159451e+00
4,10,90,5.144532e+00
4,10,100,5.144532e+00
4,10,1,5.526063e+01
4,10,2,4.691994e+01
4,10,3,3.616466e+01
4,10,5,1.706122e+01
4,10,10,1.008884e+01
4,10,20,5.063202e+00
4,10,30,4.283468e+00
4,10,40,4.242034e+00
4,10,50,4.155326e+00
4,10,60,4.133306e+00
4,10,70,4.113807e+00
4,10,80,4.109611e+00
4,10,90,4.102673e+00
4,10,100,4.102673e+00
4,10,1,2.326663e+02
4,10,2,2.910673e+01
4,10,3,1.624608e+01
4,10,5,7.585940e+00
4,10,10,6.246968e+00
4,10,20,4.369302e+00
4,10,30,4.369302e+00
4,10,40,4.369302e+00
4,10,50,4.211643e+00
4,10,60,4.211643e+00
4,10,70,4.211643e+00
4,10,80,4.211643e+00
4,10,90,4.211643e+00
4,10,100,4.211643e+00
4,10,1,1.660660e+01
4,10,2,7.469768e+00
4,10,3,6.857317e+00
4,10,5,6.857317e+00
4,10,10,6.826651e+00
4,10,20,6.742040e+00
4,10,30,6.742040e+00
4,10,40,6.742040e+00
4,10,50,6.742040e+00
4,10,60,6.742040e+00
4,10,70,6.742040e+00
4,10,80,6.742040e+00
4,10,90,6.742040e+00
4,10,100,6.742040e+00
4,10,1,9.515266e+00
4,10,2,5.845556e+00
4,10,3,5.845556e+00
4,10,5,5.581268e+00
4,10,10,5.112426e+00
4,10,20,5.098345e+00
