funcid,dim,milestone,error
26,10,1,1.367267e+03
26,10,2,1.004137e+03
26,10,3,1.004137e+03
26,10,5,9.519489e+02
26,10,10,9.519489e+02
26,10,20,9.330091e+02
26,10,30,7.471271e+02
26,10,40,7.471271e+02
26,10,50,7.471271e+02
26,10,60,6.543488e+02
26,10,70,6.543488e+02
26,10,80,6.543488e+02
26,10,90,6.480073e+02
26,10,100,6.480073e+02
26,10,1,1.703532e+03
26,10,2,1.619002e+03
26,10,3,1.521083e+03
26,10,5,1.521083e+03
26,10,10,1.521083e+03
26,10,20,1.499393e+03
26,10,30,1.499393e+03
26,10,40,1.473203e+03
26,10,50,1.473203e+03
26,10,60,1.473203e+03
26,10,70,1.473203e+03
26,10,80,1.473203e+03
26,10,90,1.473203e+03
26,10,100,1.473203e+03
26,10,1,4.517512e+02
26,10,2,4.517512e+02
26,10,3,4.159176e+02
26,10,5,3.738196e+02
26,10,10,3.590064e+02
26,10,20,3.578158e+02
26,10,30,3.520989e+02
26,10,40,3.520989e+02
26,10,50,3.520989e+02
26,10,60,3.520989e+02
26,10,70,3.520989e+02
26,10,80,3.438804e+02
26,10,90,3.415369e+02
26,10,100,3.415369e+02
26,10,1,3.280395e+02
26,10,2,3.157879e+02
26,10,3,3.098104e+02
26,10,5,3.032476e+02
26,10,10,3.008689e+02
26,10,20,3.004259e+02
26,10,30,3.003500e+02
26,10,40,3.003500e+02
26,10,50,3.001762e+02
26,10,60,3.001437e+02
26,10,70,3.001363e+02
26,10,80,3.000944e+02
26,10,90,3.000752e+02
26,10,100,3.000703e+02
26,10,1,4.759182e+02
26,10,2,4.160927e+02
26,10,3,3.938546e+02
26,10,5,3.922841e+02
26,10,10,3.384770e+02
26,10,20,3.099418e+02
26,10,30,2.699610e+02
26,10,40,2.533034e+02
26,10,50,2.432701e+02
26,10,60,2.377169e+02
26,10,70,2.291502e+02
26,10,80,2.269711e+02
26,10,90,2.269260e+02
26,10,100,2.259824e+02
26,10,1,1.807257e+03
26,10,2,1.722904e+03
26,10,3,1.574628e+03
26,10,5,1.547542e+03
26,10,10,1.480440e+03
26,10,20,4.875570e+02
26,10,30,4.803650e+02
26,10,40,4.740355e+02
26,10,50,4.734668e+02
26,10,60,4.728003e+02
26,10,70,4.713989e+02
26,10,80,4.697454e+02
26,10,90,4.696037e+02
26,10,100,4.696037e+02
26,10,1,5.919622e+02
26,10,2,5.618982e+02
26,10,3,5.607619e+02
26,10,5,5.579293e+02
26,10,10,5.556878e+02
26,10,20,5.425317e+02
26,10,30,5.410080e+02
26,10,40,5.397098e+02
26,10,50,5.382405e+02
26,10,60,5.380723e+02
26,10,70,5.367467e+02
26,10,80,5.360789e+02
26,10,90,5.358923e+02
26,10,100,5.358923e+02
26,10,1,1.853170e+03
26,10,2,1.678023e+03
26,10,3,1.658185e+03
26,10,5,7.338069e+02
26,10,10,5.852601e+02
26,10,20,4.476166e+02
26,10,30,3.154509e+02
26,10,40,3.120732e+02
26,10,50,3.083043e+02
26,10,60,3.083043e+02
