funcid,dim,milestone,error
22,10,1,2.297960e+03
22,10,2,2.162146e+03
22,10,3,2.162146e+03
22,10,5,2.033253e+03
22,10,10,2.033253e+03
22,10,20,1.825723e+03
22,10,30,1.825723e+03
22,10,40,1.785721e+03
22,10,50,1.785721e+03
22,10,60,1.785721e+03
22,10,70,1.785721e+03
22,10,80,1.747783e+03
22,10,90,1.747783e+03
22,10,100,1.747783e+03
22,10,1,1.827910e+02
22,10,2,1.762520e+02
22,10,3,1.762520e+02
22,10,5,1.728859e+02
22,10,10,1.521955e+02
22,10,20,1.342230e+02
22,10,30,1.342230e+02
22,10,40,1.221706e+02
22,10,50,1.166072e+02
22,10,60,1.166072e+02
22,10,70,1.166072e+02
22,10,80,1.166072e+02
22,10,90,1.166072e+02
22,10,100,1.166072e+02
22,10,1,1.667626e+02
22,10,2,1.443572e+02
22,10,3,1.443572e+02
22,10,5,1.301677e+02
22,10,10,1.276545e+02
22,10,20,1.234280e+02
22,10,30,1.211822e+02
22,10,40,1.211822e+02
22,10,50,1.168858e+02
22,10,60,1.168858e+02
22,10,70,1.168858e+02
22,10,80,1.168858e+02
22,10,90,1.168858e+02
22,10,100,1.168858e+02
22,10,1,1.150599e+02
22,10,2,1.109761e+02
22,10,3,1.103992e+02
22,10,5,1.086120e+02
22,10,10,1.055510e+02
22,10,20,1.024711e+02
22,10,30,1.014951e+02
22,10,40,1.012423e+02
22,10,50,1.010200e+02
22,10,60,1.009838e+02
22,10,70,1.009802e+02
22,10,80,1.009672e+02
22,10,90,1.009060e+02
22,10,100,1.008977e+02
22,10,1,1.589210e+02
22,10,2,1.516521e+02
22,10,3,1.317993e+02
22,10,5,1.282627e+02
22,10,10,1.271541e+02
22,10,20,1.201249e+02
22,10,30,1.188930e+02
22,10,40,1.187715e+02
22,10,50,1.187715e+02
22,10,60,1.183948e+02
22,10,70,1.183948e+02
22,10,80,1.183948e+02
22,10,90,1.173110e+02
22,10,100,1.168634e+02
22,10,1,1.718416e+02
22,10,2,1.435678e+02
22,10,3,1.203620e+02
22,10,5,1.174294e+02
22,10,10,1.137187e+02
22,10,20,1.113201e+02
22,10,30,1.105140e+02
22,10,40,1.105140e+02
22,10,50,1.101497e+02
22,10,60,1.099080e+02
22,10,70,1.099080e+02
22,10,80,1.099080e+02
22,10,90,1.098085e+02
22,10,100,1.098085e+02
22,10,1,1.606465e+02
22,10,2,1.375314e+02
22,10,3,1.172899e+02
22,10,5,1.149231e+02
22,10,10,1.138048e+02
22,10,20,1.128625e+02
22,10,30,1.127060e+02
22,10,40,1.122639e+02
22,10,50,1.118792e+02
22,10,60,1.118139e+02
22,10,70,1.118139e+02
22,10,80,1.118139e+02
22,10,90,1.115292e+02
22,10,100,1.115292e+02
22,10,1,1.265010e+02
22,10,2,1.249340e+02
22,10,3,1.204096e+02
22,10,5,1.158028e+02
22,10,10,1.125143e+02
22,10,20,1.098459e+02
22,10,30,1.096632e+02
22,10,40,1.086614e+02
22,10,50,1.080185e+02
22,10,60,1.066507e+02
22,10,70,1.065894e+02
22,10,80,1.052508e+02
22,10,90,1.052508e+02
22,10,100,1.052508e+02
22,10,1,1.998101e+03
22,10,2,1.740176e+03
22,10,3,1.736076e+03
22,10,5,1.536228e+03
22,10,10,1.478146e+03
22,10,20,1.477146e+03
22,10,30,1.476515e+03
22,10,40,1.475309e+03
22,10,50,1.475309e+03
22,10,60,1.472380e+03
22,10,70,1.468824e+03
22,10,80,1.468805e+03
22,10,90,1.468805e+03
22,10,100,1.468805e+03
22,10,1,1.128370e+02
22,10,2,1.122582e+02
22,10,3,1.109506e+02
22,10,5,1.109506e+02
22,10,10,1.105837e+02
22,10,20,1.097979e+02
22,10,30,1.097979e+02
22,10,40,1.093093e+02
22,10,50,1.093093e+02
22,10,60,1.093093e+02
22,10,70,1.093093e+02
22,10,80,1.093093e+02
22,10,90,1.093093e+02
22,10,100,1.093093e+02
22,10,1,1.795088e+03
22,10,2,1.704498e+03
22,10,3,1.704498e+03
22,10,5,1.675257e+03
22,10,10,1.652295e+03
22,10,20,1.632918e+03
22,10,30,1.626503e+03
22,10,40,1.115952e+02
22,10,50,1.115952e+02
22,10,60,1.115952e+02
22,10,70,1.115952e+02
22,10,80,1.115952e+02
22,10,90,1.115952e+02
22,10,100,1.115952e+02
22,10,1,2.437711e+03
22,10,2,2.287148e+03
22,10,3,1.993127e+03
22,10,5,1.620534e+03
22,10,10,1.503457e+03
22,10,20,1.278816e+03
