funcid,dim,milestone,error
8,10,1,7.841227e+01
8,10,2,6.810579e+01
8,10,3,6.810579e+01
8,10,5,6.810579e+01
8,10,10,6.379305e+01
8,10,20,5.877644e+01
8,10,30,5.877644e+01
8,10,40,4.573425e+01
8,10,50,4.573425e+01
8,10,60,4.573425e+01
8,10,70,4.573425e+01
8,10,80,4.573425e+01
8,10,90,4.573425e+01
8,10,100,4.573425e+01
8,10,1,9.104411e+01
8,10,2,8.066609e+01
8,10,3,5.340860e+01
8,10,5,5.340860e+01
8,10,10,5.018953e+01
8,10,20,3.431086e+01
8,10,30,3.431086e+01
8,10,40,3.431086e+01
8,10,50,3.415671e+01
8,10,60,3.231398e+01
8,10,70,3.231398e+01
8,10,80,3.105132e+01
8,10,90,3.105132e+01
8,10,100,3.105132e+01
8,10,1,5.616716e+01
8,10,2,5.616716e+01
8,10,3,5.612777e+01
8,10,5,4.997953e+01
8,10,10,4.997953e+01
8,10,20,4.997953e+01
8,10,30,4.699517e+01
8,10,40,3.887248e+01
8,10,50,3.582431e+01
8,10,60,3.582431e+01
8,10,70,3.582431e+01
8,10,80,3.331677e+01
8,10,90,3.331677e+01
8,10,100,3.331677e+01
8,10,1,6.045785e+01
8,10,2,4.717075e+01
8,10,3,4.633724e+01
8,10,5,4.595359e+01
8,10,10,4.593123e+01
8,10,20,4.588086e+01
8,10,30,4.587155e+01
8,10,40,4.585434e+01
8,10,50,4.583767e+01
8,10,60,4.581754e+01
8,10,70,4.581682e+01
8,10,80,4.581477e+01
8,10,90,4.580970e+01
8,10,100,4.580124e+01
8,10,1,4.926901e+01
8,10,2,4.926901e+01
8,10,3,4.926901e+01
8,10,5,4.926901e+01
8,10,10,3.531713e+01
8,10,20,2.377363e+01
8,10,30,1.678763e+01
8,10,40,1.601126e+01
8,10,50,1.568674e+01
8,10,60,1.548500e+01
8,10,70,1.525162e+01
8,10,80,1.510731e+01
8,10,90,1.468387e+01
8,10,100,1.468387e+01
8,10,1,6.176940e+01
8,10,2,5.885416e+01
8,10,3,4.759479e+01
8,10,5,3.462209e+01
8,10,10,2.958565e+01
8,10,20,2.566618e+01
8,10,30,2.457756e+01
8,10,40,2.436296e+01
8,10,50,2.432182e+01
8,10,60,2.415927e+01
8,10,70,2.415927e+01
8,10,80,2.405801e+01
8,10,90,2.394669e+01
8,10,100,2.394669e+01
8,10,1,5.224251e+01
8,10,2,4.235462e+01
8,10,3,3.708823e+01
8,10,5,3.572335e+01
8,10,10,3.034179e+01
8,10,20,2.590835e+01
8,10,30,2.524943e+01
8,10,40,2.514815e+01
8,10,50,2.495537e+01
8,10,60,2.491192e+01
8,10,70,2.490923e+01
8,10,80,2.490922e+01
8,10,90,2.490922e+01
8,10,100,2.490922e+01
8,10,1,5.352749e+01
8,10,2,3.238823e+01
8,10,3,2.404425e+01
8,10,5,2.339480e+01
8,10,10,2.069509e+01
8,10,20,1.940910e+01
8,10,30,1.875327e+01
8,10,40,1.829278e+01
8,10,50,1.783927e+01
8,10,60,1.767447e+01
8,10,70,1.735270e+01
8,10,80,1.731127e+01
8,10,90,1.723566e+01
8,10,100,1.723566e+01
8,10,1,5.309825e+01
8,10,2,4.964439e+01
8,10,3,4.708956e+01
8,10,5,4.153238e+01
8,10,10,3.452039e+01
8,10,20,3.423759e+01
8,10,30,3.355253e+01
8,10,40,3.336988e+01
8,10,50,3.320612e+01
8,10,60,3.310716e+01
8,10,70,3.309992e+01
8,10,80,3.305109e+01
8,10,90,3.303386e+01
8,10,100,3.303386e+01
8,10,1,6.162399e+01
8,10,2,5.391613e+01
8,10,3,4.981395e+01
8,10,5,4.884353e+01
8,10,10,4.621093e+01
8,10,20,4.491503e+01
8,10,30,4.401498e+01
8,10,40,4.341716e+01
8,10,50,4.289293e+01
8,10,60,4.203920e+01
8,10,70,4.103161e+01
8,10,80,4.087918e+01
8,10,90,4.081506e+01
8,10,100,4.081506e+01
8,10,1,1.355106e+02
8,10,2,5.972346e+01
8,10,3,5.750838e+01
8,10,5,5.750838e+01
8,10,10,5.274330e+01
8,10,20,4.448909e+01
8,10,30,4.066006e+01
8,10,40,4.066006e+01
8,10,50,4.066006e+01
8,10,60,4.066006e+01
8,10,70,4.066006e+01
8,10,80,4.066006e+01
8,10,90,4.066006e+01
8,10,100,4.066006e+01
8,10,1,8.793275e+01
8,10,2,4.635293e+01
8,10,3,4.367930e+01
8,10,5,4.079107e+01
8,10,10,3.926670e+01
8,10,20,3.765403e+01
8,10,30,3.765403e+01
8,10,40,3.765403e+01
8,10,50,3.765403e+01
8,10,60,3.765403e+01
8,10,70,3.765403e+01
8,10,80,3.765403e+01
8,10,90,3.765403e+01
8,10,100,3.765403e+01
8,10,1,7.984991e+01
8,10,2,5.675369e+01
8,10,3,5.158863e+01
8,10,5,4.698014e+01
8,10,10,4.138788e+01
8,10,20,4.138788e+01
8,10,30,4.138788e+01
8,10,40,4.008682e+01
8,10,50,4.008682e+01
8,10,60,4.008682e+01
8,10,70,3.952971e+01
8,10,80,3.952971e+01
8,10,90,3.952971e+01
8,10,100,3.952971e+01
