funcid,dim,milestone,error
12,10,1,7.939630e+07
12,10,2,4.625480e+07
12,10,3,4.625480e+07
12,10,5,1.941427e+07
12,10,10,1.901946e+07
12,10,20,9.802994e+06
12,10,30,9.802994e+06
12,10,40,8.144008e+06
12,10,50,8.144008e+06
12,10,60,8.144008e+06
12,10,70,8.144008e+06
12,10,80,8.144008e+06
12,10,90,8.144008e+06
12,10,100,8.144008e+06
12,10,1,1.321587e+07
12,10,2,1.321587e+07
12,10,3,1.321587e+07
12,10,5,1.321587e+07
12,10,10,6.160614e+06
12,10,20,6.254573e+05
12,10,30,5.112757e+05
12,10,40,5.112757e+05
12,10,50,5.112757e+05
12,10,60,5.112757e+05
12,10,70,5.112757e+05
12,10,80,2.859277e+05
12,10,90,2.859277e+05
12,10,100,2.765075e+05
12,10,1,2.517350e+07
12,10,2,2.441010e+07
12,10,3,1.291549e+07
12,10,5,1.291549e+07
12,10,10,1.116482e+07
12,10,20,3.881726e+06
12,10,30,3.881726e+06
12,10,40,1.712219e+06
12,10,50,1.712219e+06
12,10,60,1.712219e+06
12,10,70,1.712219e+06
12,10,80,1.712219e+06
12,10,90,1.712219e+06
12,10,100,1.712219e+06
12,10,1,2.967350e+06
12,10,2,2.634453e+06
12,10,3,2.621507e+06
12,10,5,2.551906e+06
12,10,10,2.044825e+06
12,10,20,2.037768e+06
12,10,30,2.030625e+06
12,10,40,1.635417e+06
12,10,50,1.320366e+06
12,10,60,1.299234e+06
12,10,70,1.223374e+06
12,10,80,1.102825e+06
12,10,90,1.050005e+06
12,10,100,1.045393e+06
12,10,1,2.823360e+06
12,10,2,1.698242e+06
12,10,3,1.698242e+06
12,10,5,1.176544e+06
12,10,10,4.715619e+05
12,10,20,4.025406e+05
12,10,30,4.004123e+05
12,10,40,4.004123e+05
12,10,50,3.999216e+05
12,10,60,3.981042e+05
12,10,70,3.926552e+05
12,10,80,3.820141e+05
12,10,90,3.814083e+05
12,10,100,3.803962e+05
12,10,1,2.625114e+07
12,10,2,1.277322e+07
12,10,3,9.181315e+06
12,10,5,8.562432e+06
12,10,10,8.405100e+06
12,10,20,8.141935e+06
12,10,30,8.022831e+06
12,10,40,7.906823e+06
12,10,50,7.725327e+06
12,10,60,7.645760e+06
12,10,70,7.354696e+06
12,10,80,7.329306e+06
12,10,90,7.246562e+06
12,10,100,7.242688e+06
12,10,1,8.463851e+06
12,10,2,5.940605e+06
12,10,3,5.370521e+06
12,10,5,5.048273e+06
12,10,10,4.654480e+06
12,10,20,4.534929e+06
12,10,30,4.520839e+06
12,10,40,4.441935e+06
12,10,50,4.309348e+06
12,10,60,4.225695e+06
12,10,70,4.225695e+06
12,10,80,4.168273e+06
12,10,90,4.129350e+06
12,10,100,4.129350e+06
12,10,1,2.776974e+06
12,10,2,2.419600e+06
12,10,3,1.697772e+06
12,10,5,1.604966e+06
12,10,10,1.142135e+06
12,10,20,9.209216e+05
12,10,1,1.949160e+07
12,10,2,1.952956e+06
12,10,3,8.705747e+05
12,10,5,8.471919e+05
12,10,10,8.046098e+05
12,10,20,7.572331e+05
12,10,30,7.231896e+05
12,10,40,7.231896e+05
12,10,50,7.205189e+05
12,10,60,7.205189e+05
12,10,70,7.200436e+05
12,10,80,7.200436e+05
12,10,90,7.177683e+05
12,10,100,7.177683e+05
12,10,1,8.593883e+06
12,10,2,8.593883e+06
12,10,3,8.593883e+06
12,10,5,6.341292e+06
12,10,10,5.024868e+06
12,10,20,4.907891e+06
12,10,30,4.817576e+06
12,10,40,4.804848e+06
12,10,50,4.763785e+06
12,10,60,4.735375e+06
12,10,70,4.691399e+06
12,10,80,4.666927e+06
12,10,90,4.660074e+06
12,10,100,4.660074e+06
12,10,1,7.311465e+06
12,10,2,7.311465e+06
12,10,3,7.311465e+06
12,10,5,7.305947e+06
12,10,10,7.243522e+06
12,10,20,5.020558e+06
12,10,30,2.828648e+06
12,10,40,2.093212e+06
12,10,50,2.079239e+06
12,10,60,2.079239e+06
12,10,70,1.114001e+06
12,10,80,1.114001e+06
12,10,90,1.114001e+06
12,10,100,1.114001e+06
12,10,1,3.610037e+06
12,10,2,3.227653e+06
12,10,3,3.068070e+06
12,10,5,2.241854e+06
12,10,10,8.937791e+05
12,10,20,8.937791e+05
12,10,30,5.937294e+05
12,10,40,5.937294e+05
12,10,50,5.937294e+05
12,10,60,5.937294e+05
12,10,70,5.937294e+05
12,10,80,5.937294e+05
12,10,90,5.937294e+05
12,10,100,5.937294e+05
12,10,1,9.380047e+06
12,10,2,7.125322e+06
12,10,3,7.125322e+06
12,10,5,7.125322e+06
12,10,10,5.845529e+06
12,10,20,5.805151e+06
12,10,30,5.566471e+06
12,10,40,5.487680e+06
12,10,50,3.828355e+06
12,10,60,3.291883e+06
12,10,70,3.291883e+06
12,10,80,3.291883e+06
12,10,90,3.291883e+06
12,10,100,3.291883e+06
12,10,1,1.826710e+07
12,10,2,1.699592e+07
12,10,3,1.699592e+07
12,10,5,1.668706e+07
12,10,10,9.340563e+06
12,10,20,7.507992e+06
12,10,30,7.507992e+06
12,10,40,7.507992e+06
12,10,50,7.507992e+06
12,10,60,5.712674e+06
12,10,70,4.498755e+06
12,10,80,3.980475e+06
12,10,90,3.980475e+06
12,10,100,3.980475e+06
12,10,1,2.987967e+08
12,10,2,1.379365e+08
12,10,3,2.679065e+07
12,10,5,1.653286e+07
12,10,10,1.611370e+07
12,10,20,1.285433e+07
12,10,30,1.109382e+07
12,10,40,9.651867e+06
12,10,50,9.651867e+06
12,10,60,9.078189e+06
12,10,70,8.270763e+06
12,10,80,7.933925e+06
12,10,90,7.933925e+06
12,10,100,7.933925e+06
12,10,1,2.075888e+08
12,10,2,1.989424e+08
12,10,3,1.545935e+08
12,10,5,2.186153e+06
12,10,10,2.186153e+06
12,10,20,2.186153e+06
12,10,30,2.111058e+06
12,10,40,2.111058e+06
12,10,50,1.179997e+06
12,10,60,7.889499e+05
12,10,70,7.889499e+05
12,10,80,7.889499e+05
12,10,90,7.889499e+05
12,10,100,7.889499e+05
12,10,1,4.594549e+08
12,10,2,3.357522e+08
12,10,3,8.505017e+07
12,10,5,1.878432e+07
12,10,10,1.162004e+07
12,10,20,6.756776e+06
12,10,30,2.254738e+06
12,10,40,2.254738e+06
12,10,50,2.222014e+06
12,10,60,2.222014e+06
12,10,70,1.165160e+06
12,10,80,1.165160e+06
12,10,90,1.165160e+06
12,10,100,1.165160e+06
12,10,1,8.726553e+08
12,10,2,8.726553e+08
12,10,3,8.726553e+08
12,10,5,4.050347e+08
12,10,10,4.050347e+08
12,10,20,1.762113e+08
12,10,30,1.762113e+08
12,10,40,1.762113e+08
12,10,50,1.762113e+08
12,10,60,1.762113e+08
12,10,70,5.148191e+07
12,10,80,5.148191e+07
12,10,90,5.148191e+07
12,10,100,5.148191e+07
12,10,1,4.568342e+08
12,10,2,4.568342e+08
12,10,3,3.039633e+08
12,10,5,3.039633e+08
12,10,10,3.039633e+08
12,10,20,3.039633e+08
12,10,30,1.002865e+08
12,10,40,1.002865e+08
12,10,50,1.002865e+08
12,10,60,1.002865e+08
12,10,70,8.233326e+07
12,10,80,3.194374e+07
12,10,90,3.194374e+07
12,10,100,3.194374e+07
12,10,1,2.687783e+08
12,10,2,4.424409e+07
12,10,3,2.006316e+07
12,10,5,6.760392e+06
12,10,10,5.185082e+06
12,10,20,3.433909e+06
12,10,30,2.004871e+06
12,10,40,1.981816e+06
12,10,50,8.148767e+05
12,10,60,8.148767e+05
12,10,70,8.148767e+05
12,10,80,5.343239e+05
12,10,90,5.343239e+05
12,10,100,5.343239e+05
12,10,1,3.676947e+08
12,10,2,9.673113e+07
12,10,3,2.777542e+07
12,10,5,1.149556e+07
12,10,10,5.278492e+06
12,10,20,3.913851e+06
12,10,30,3.612057e+06
12,10,40,3.184148e+06
12,10,50,3.013375e+06
12,10,60,2.547579e+06
12,10,70,2.547579e+06
12,10,80,2.547579e+06
12,10,90,2.547579e+06
12,10,100,2.547579e+06
