funcid,dim,milestone,error
23,10,1,3.787792e+02
23,10,2,3.672743e+02
23,10,3,3.470667e+02
23,10,5,3.406367e+02
23,10,10,3.226683e+02
23,10,20,3.226683e+02
23,10,30,3.226683e+02
23,10,40,3.193914e+02
23,10,50,3.125602e+02
23,10,60,3.121640e+02
23,10,70,3.121640e+02
23,10,80,3.121640e+02
23,10,90,3.121640e+02
23,10,100,3.121640e+02
23,10,1,5.464165e+02
23,10,2,3.870966e+02
23,10,3,3.636853e+02
23,10,5,3.418735e+02
23,10,10,3.318217e+02
23,10,20,3.280434e+02
23,10,30,3.280434e+02
23,10,40,3.280434e+02
23,10,50,3.280434e+02
23,10,60,3.280434e+02
23,10,70,3.280434e+02
23,10,80,3.278724e+02
23,10,90,3.272824e+02
23,10,100,3.272824e+02
