funcid,dim,milestone,error
15,10,1,2.041891e+04
15,10,2,2.030559e+04
15,10,3,1.225371e+03
15,10,5,9.996040e+02
15,10,10,9.996040e+02
15,10,20,6.026459e+02
15,10,30,6.026459e+02
15,10,40,6.026459e+02
15,10,50,6.026459e+02
15,10,60,6.026459e+02
15,10,70,6.026459e+02
15,10,80,5.463324e+02
15,10,90,5.463324e+02
15,10,100,5.463324e+02
15,10,1,2.164909e+05
15,10,2,5.608405e+03
15,10,3,5.608405e+03
15,10,5,4.062195e+03
15,10,10,2.669462e+03
15,10,20,2.551616e+03
15,10,30,2.551616e+03
15,10,40,2.551616e+03
15,10,50,2.551616e+03
15,10,60,2.497679e+03
15,10,70,2.497679e+03
15,10,80,2.293903e+03
15,10,90,2.202612e+03
15,10,100,7.599106e+02
