funcid,dim,milestone,error
10,10,1,2.067102e+03
10,10,2,1.232983e+03
10,10,3,1.014602e+03
10,10,5,1.014602e+03
10,10,10,9.348744e+02
10,10,20,7.022140e+02
10,10,30,7.022140e+02
10,10,40,7.022140e+02
10,10,50,6.843186e+02
10,10,60,6.258274e+02
10,10,70,6.258274e+02
10,10,80,6.258274e+02
10,10,90,6.258274e+02
10,10,100,6.258274e+02
10,10,1,2.128772e+03
10,10,2,1.698751e+03
10,10,3,1.698751e+03
10,10,5,1.343163e+03
10,10,10,1.214891e+03
10,10,20,1.134273e+03
10,10,30,1.038341e+03
10,10,40,9.393378e+02
10,10,50,8.392126e+02
10,10,60,7.654001e+02
10,10,70,7.654001e+02
10,10,80,6.998036e+02
10,10,90,6.998036e+02
10,10,100,6.998036e+02
