funcid,dim,milestone,error
7,10,1,5.884726e+01
7,10,2,5.884726e+01
7,10,3,5.884726e+01
7,10,5,3.922143e+01
7,10,10,3.922143e+01
7,10,20,3.922143e+01
7,10,30,3.922143e+01
7,10,40,3.922143e+01
7,10,50,3.922143e+01
7,10,60,3.922143e+01
7,10,70,3.922143e+01
7,10,80,3.922143e+01
7,10,90,3.922143e+01
7,10,100,3.922143e+01
7,10,1,1.977246e+02
7,10,2,1.397930e+02
7,10,3,1.097506e+02
7,10,5,8.815683e+01
7,10,10,7.749349e+01
7,10,20,7.305952e+01
7,10,30,7.188260e+01
7,10,40,6.942983e+01
7,10,50,5.433823e+01
7,10,60,4.698862e+01
7,10,70,4.698862e+01
7,10,80,4.698862e+01
7,10,90,4.698862e+01
7,10,100,4.698862e+01
