funcid,dim,milestone,error
27,10,1,4.091311e+02
27,10,2,3.942179e+02
27,10,3,3.942179e+02
27,10,5,3.913326e+02
27,10,10,3.913326e+02
27,10,20,3.905696e+02
27,10,30,3.905696e+02
27,10,40,3.905696e+02
27,10,50,3.905696e+02
27,10,60,3.905696e+02
27,10,70,3.905696e+02
27,10,80,3.905696e+02
27,10,90,3.905696e+02
27,10,100,3.905696e+02
27,10,1,1.197464e+03
27,10,2,4.344023e+02
27,10,3,4.145643e+02
27,10,5,4.060547e+02
27,10,10,3.954133e+02
27,10,20,3.912299e+02
27,10,30,3.907959e+02
27,10,40,3.901687e+02
27,10,50,3.901687e+02
27,10,60,3.898446e+02
27,10,70,3.898446e+02
27,10,80,3.898446e+02
27,10,90,3.898446e+02
27,10,100,3.898446e+02
