funcid,dim,milestone,error
5,10,1,6.577184e+01
5,10,2,3.816961e+01
5,10,3,3.247775e+01
5,10,5,3.247775e+01
5,10,10,2.246341e+01
5,10,20,1.946536e+01
5,10,30,1.676290e+01
5,10,40,1.503891e+01
5,10,50,1.503891e+01
5,10,60,1.503891e+01
5,10,70,1.503891e+01
5,10,80,1.503891e+01
5,10,90,1.503891e+01
5,10,100,1.503891e+01
5,10,1,7.548135e+01
5,10,2,6.792082e+01
5,10,3,5.963572e+01
5,10,5,5.243466e+01
5,10,10,3.667449e+01
5,10,20,2.661767e+01
5,10,30,2.462331e+01
5,10,40,2.294601e+01
5,10,50,2.294601e+01
5,10,60,2.294601e+01
5,10,70,2.211206e+01
5,10,80,2.211206e+01
5,10,90,2.211206e+01
5,10,100,2.211206e+01
