funcid,dim,milestone,error
8,10,1,5.779195e+01
8,10,2,3.137164e+01
8,10,3,2.317225e+01
8,10,5,2.317225e+01
8,10,10,2.317225e+01
8,10,20,1.812363e+01
8,10,30,1.412866e+01
8,10,40,1.412866e+01
8,10,50,1.412866e+01
8,10,60,1.412866e+01
8,10,70,1.412866e+01
8,10,80,1.412866e+01
8,10,90,1.412866e+01
8,10,100,1.412866e+01
8,10,1,1.055903e+02
8,10,2,6.836244e+01
8,10,3,5.069204e+01
8,10,5,4.713955e+01
8,10,10,3.498025e+01
8,10,20,2.510284e+01
8,10,30,2.510284e+01
8,10,40,2.510284e+01
8,10,50,2.214926e+01
8,10,60,2.177902e+01
8,10,70,2.177902e+01
8,10,80,2.177902e+01
8,10,90,2.177902e+01
8,10,100,2.177902e+01
