funcid,dim,milestone,error
17,10,1,1.000355e+02
17,10,2,5.544457e+01
17,10,3,4.722008e+01
17,10,5,4.722008e+01
17,10,10,4.722008e+01
17,10,20,4.722008e+01
17,10,30,3.783339e+01
17,10,40,3.783339e+01
17,10,50,3.783339e+01
17,10,60,3.783339e+01
17,10,70,3.783339e+01
17,10,80,3.783339e+01
17,10,90,3.783339e+01
17,10,100,3.783339e+01
17,10,1,2.847449e+02
17,10,2,1.494667e+02
17,10,3,9.846289e+01
17,10,5,6.734905e+01
17,10,10,5.832703e+01
17,10,20,5.281569e+01
17,10,30,5.089210e+01
17,10,40,5.089210e+01
17,10,50,4.424980e+01
17,10,60,4.424980e+01
17,10,70,4.424980e+01
17,10,80,4.424980e+01
17,10,90,4.424980e+01
17,10,100,4.424980e+01
