funcid,dim,milestone,error
23,10,1,3.782358e+02
23,10,2,3.408733e+02
23,10,3,3.398190e+02
23,10,5,3.398190e+02
23,10,10,3.398190e+02
23,10,20,3.363015e+02
23,10,30,3.303065e+02
23,10,40,3.303065e+02
23,10,50,3.303065e+02
23,10,60,3.303065e+02
23,10,70,3.303065e+02
23,10,80,3.303065e+02
23,10,90,3.303065e+02
23,10,100,3.303065e+02
